Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
Female,22,Engineering,52.899,55.03,57.82,84.22,74.06,3.99,85.9,56.09,F,6.3,0,1,High School,1,5,4.7
Male,18,Engineering,97.27,97.121,45.8,74.81,94.24,8.32,55.65,52.4495,A,19.0,0,1,Not Reported,1,4,8.8
Male,24,Business,57.19,67.05,93.68,67.7,85.7,5.05,73.79,70.3,D,20.7,0,1,Master's,0,6,6.2
Female,24,Mathematics,95.15,47.79,80.63,66.06,93.51,6.54,92.12,61.63,A,24.8,1,1,High School,2,3,6.7
Female,23,CS,54.18,46.59,78.89,96.85,83.7,5.97,68.42,66.13,F,15.4,1,1,High School,2,2,7.1
Male,21,Engineering,75.4314094558,78.85,43.53,71.4,52.2,6.38,67.29,62.08,B,8.5,1,1,PhD,2,1,5.0
Male,24,Business,57.6,66.26,89.07,84.52,98.4,2.3,93.65,83.21,F,21.3,0,1,Not Reported,0,5,6.4
Male,19,Engineering,52.899,45.67,73.96,80.12,95.9,3.73,93.24,81.93,F,27.3,1,0,Not Reported,1,4,4.3
Female,21,CS,85.97,84.42,90.87,57.05,56.33,0.51,94.01,95.62,A,8.0,0,0,Bachelor's,0,9,8.8
Female,22,Engineering,64.01,87.96,96.79,96.98,55.63,5.88,78.6,84.99,A,9.6,0,1,Not Reported,1,10,6.4
Female,23,CS,85.72,83.52,96.79,67.29,76.95,4.59,97.62,58.25,A,13.2,0,1,High School,0,1,4.2
Female,20,Engineering,77.75,52.14,91.37,52.24,87.85,7.61,90.95,87.58,C,21.3,0,1,Master's,0,9,7.0
Male,21,Engineering,55.44,81.39,42.978,65.02,69.11,2.06,70.78,59.06,F,18.1,0,1,Master's,2,8,4.5
Male,18,Business,96.61,43.29,93.14,66.78,56.82,4.37,81.48,77.93,A,22.8,0,1,Not Reported,1,10,7.9
Male,19,Engineering,72.62,58.31,44.5,54.64,75.53,1.81,56.09,53.85,B,6.3,0,1,Not Reported,0,4,8.8
Male,18,CS,86.72,63.93,91.07,81.0,66.88,6.14,77.57,52.4495,A,25.3,0,1,Not Reported,2,2,8.6
Female,21,CS,75.05,90.11,56.81,67.34,67.59,8.48,63.16,73.21,F,28.9,0,1,Not Reported,0,3,6.1
Female,23,Business,80.22,63.42,76.6,81.46,82.25,7.65,64.18,55.25,F,6.3,0,0,PhD,1,10,7.6
Male,20,CS,65.14,43.29,42.978,50.34,94.28,9.44,56.29,65.33,B,17.4,0,1,Not Reported,1,9,4.8
Male,20,Engineering,60.02,61.14,86.27,99.1,77.93,9.72,67.91,66.94,D,23.5,1,1,PhD,0,10,4.4
Male,18,CS,77.13,69.94,46.7,74.81,84.38,7.72,74.07,88.47,D,16.9,0,1,High School,1,2,8.1
Male,22,Business,72.01,96.94,64.64,82.97,83.0,2.87,80.02,66.63,C,19.8,0,1,Not Reported,0,8,7.5
Male,22,Engineering,69.51,96.46,89.05,85.79,77.56,2.19,65.24,74.72,C,28.0,1,1,Not Reported,0,10,8.5
Female,23,CS,83.63,50.85,81.72,58.58,65.54,4.48,89.61,88.63,D,18.5,0,1,Master's,0,1,8.6
Female,20,CS,84.53,51.11,42.978,55.59,68.89,9.94,76.05,60.24,A,10.9,1,1,High School,0,4,5.7
Male,18,Business,52.899,49.8,64.18,57.63,65.79,4.13,81.9,90.24,C,23.5,0,1,High School,2,3,5.6
Male,18,Engineering,66.94,87.34,42.978,62.34,95.87,1.99,63.91,91.59,A,14.4,0,1,Not Reported,0,10,6.2
Male,18,Business,70.59,43.29,80.41,58.41,91.33,9.44,90.71,97.513,D,12.1,1,1,Not Reported,1,2,7.3
Female,21,Business,54.84,47.63,96.79,83.7,78.97,3.86,81.21,72.2,D,11.2,1,1,Bachelor's,0,3,4.2
Female,23,Mathematics,61.8,72.28,79.32,71.04,95.61,6.91,93.12,68.53,A,7.0,0,1,Master's,2,3,6.7
Female,22,CS,52.899,54.85,53.46,76.89,94.32,7.88,58.0,85.1,F,28.3,0,1,High School,1,9,4.2
Male,22,Mathematics,97.5205,45.54,61.31,52.37,96.38,8.43,69.03,52.91,B,19.1,0,1,Bachelor's,0,3,6.3
Female,21,CS,75.4314094558,61.59,96.79,93.06,61.09,8.21,55.65,52.4495,D,28.9,0,1,Not Reported,1,9,4.4
Male,19,CS,54.37,56.45,53.44,58.53,85.88,8.36,60.78,66.75,D,26.5,0,1,Master's,0,4,6.8
Female,21,Business,52.899,70.67,73.69,68.01,80.46,6.68,69.73,86.48,F,6.3,0,1,Master's,0,1,5.6
Female,23,CS,85.96,97.121,64.03,53.6,86.69,4.04,94.73,55.82,A,11.2,0,1,Not Reported,1,8,6.4
Female,18,CS,71.96,47.46,86.1,56.84,63.17,6.67,77.85,81.78,F,12.9,0,1,Bachelor's,0,10,8.8
Male,21,CS,89.34,62.36,92.04,83.29,84.74,8.37,66.52,63.48,A,17.2,0,1,Not Reported,0,5,5.7
Male,18,Engineering,96.17,95.92,60.45,84.63,70.49,3.51,87.34,82.58,A,22.9,1,1,Master's,1,2,7.6
Female,23,Engineering,79.97,92.61,79.62,83.85,91.7,2.97,50.98,72.85,A,22.0,0,1,Bachelor's,0,9,7.4
Male,24,Business,59.36,63.66,72.94,77.61,89.77,3.44,68.5,55.76,C,28.9,0,1,PhD,0,7,8.3
Male,23,Business,89.11,81.94,56.71,97.63,60.57,5.51,80.04,62.36,A,28.1,0,1,Bachelor's,1,6,5.7
Male,20,Engineering,97.5205,45.27,56.32,75.36,59.19,0.52,79.16,60.99,A,9.7,0,1,Bachelor's,0,2,4.3
Male,18,CS,79.01,82.75,72.32,72.47,85.89,7.79,80.38,58.23,A,26.5,1,1,Bachelor's,2,6,8.8
Male,22,Mathematics,84.1,97.121,49.24,62.38,77.52,1.39,60.58,73.42,D,26.1,1,1,Master's,1,7,5.8
Male,21,CS,66.87,72.25,88.65,54.94,77.86,1.33,66.85,97.513,C,19.4,0,1,Not Reported,0,5,5.0
Male,24,CS,75.4314094558,69.91,44.14,77.41,87.63,1.98,96.58,82.9,C,13.5,0,1,Master's,0,5,8.6
Female,23,CS,86.73,51.24,45.67,65.74,92.75,5.77,98.7,91.8,A,10.2,0,1,Master's,2,4,5.0
Male,18,Engineering,96.39,78.03,60.53,76.2,61.95,2.86,65.6,97.513,B,10.3,0,1,Master's,1,10,6.6
Male,24,CS,81.45,75.43,47.09,60.31,77.78,3.68,82.23,77.03,B,13.4,0,1,Master's,0,1,7.8
Female,19,CS,89.49,79.12,68.54,91.91,91.45,9.32,62.06,61.9,A,17.6,0,1,Not Reported,0,10,7.7
Female,20,CS,58.58,43.29,63.98,99.98,93.64,8.47,68.43,96.39,D,19.6,1,1,PhD,1,7,4.2
Female,19,CS,60.6,72.92,83.31,66.12,64.37,8.52,89.62,84.95,B,13.1,0,1,Not Reported,0,3,5.0
Female,23,Engineering,76.6,75.7,96.79,92.12,55.21,5.78,75.06,97.513,C,13.9,0,1,High School,1,5,8.4
Male,19,Business,75.4314094558,52.45,85.21,93.65,61.64,8.66,92.48,82.55,B,6.3,0,1,High School,1,8,6.8
Female,19,Business,81.75,52.5,50.77,74.81,97.27,7.79,81.44,88.76,A,6.3,0,1,Not Reported,1,2,7.4
Female,20,CS,64.58,56.57,96.13,67.14,73.12,9.53,81.45,94.53,F,27.7,0,1,Bachelor's,0,4,6.0
Male,20,CS,89.58,82.7,63.53,87.8,70.93,0.64,51.69,87.96,A,6.3,1,1,Not Reported,0,9,7.7
Male,20,Mathematics,90.41,76.38,68.45,61.44,50.65,0.29,87.48,78.13,B,6.3,1,1,Not Reported,2,2,5.4
Male,24,CS,73.19,90.75,65.29,81.24,52.55,1.75,98.89,73.6,F,10.1,0,0,Master's,1,8,5.2
Female,20,Business,59.04,57.74,56.83,85.24,83.43,9.29,73.65,91.17,D,23.6,0,1,Not Reported,0,9,8.8
Male,19,CS,82.34,94.72,93.7,74.81,79.49,6.06,57.93,88.6,B,22.0,0,1,Not Reported,0,3,4.8
Female,22,Mathematics,97.5205,84.62,59.93,60.36,78.78,4.26,98.85,68.32,A,21.2,1,1,PhD,1,5,8.8
Male,22,CS,81.13,63.7,74.72,92.44,55.52,5.13,64.51,74.92,F,19.4,0,1,Bachelor's,1,4,8.6
Male,20,Engineering,52.899,45.72,54.4,71.05,67.6,8.3,70.46,81.75,C,10.0,0,1,Master's,0,10,7.6
Female,24,Business,52.899,55.42,87.84,60.82,90.62,9.29,53.87,52.4495,F,14.9,0,0,Master's,2,10,6.9
Male,21,Engineering,66.02,97.121,86.45,77.13,58.75,7.3,55.54,62.38,A,17.0,0,1,Bachelor's,0,8,4.2
Male,18,CS,59.79,58.62,57.78,93.17,94.13,7.6,60.83,62.51,D,19.6,0,1,PhD,0,8,7.2
Male,23,Engineering,90.65,59.79,80.89,98.35,56.07,3.2,77.42,94.16,A,10.0,0,1,PhD,0,5,7.9
Male,24,Business,92.24,51.38,82.23,87.41,58.46,4.67,77.89,66.57,A,23.2,0,1,Not Reported,2,5,7.7
Male,21,CS,62.93,88.41,73.75,50.28,73.89,8.85,80.31,77.26,B,12.7,0,1,High School,2,1,4.9
Female,23,CS,66.28,56.54,76.04,56.74,97.26,7.86,79.19,91.58,C,21.5,0,1,High School,0,5,6.7
Female,21,Engineering,61.81,59.82,74.47,53.81,66.48,6.84,74.76,62.98,B,17.8,1,0,PhD,0,1,6.8
Male,21,CS,95.42,64.86,44.91,55.06,82.91,0.65,90.1,56.19,A,19.8,1,1,Bachelor's,2,4,7.3
Female,22,Engineering,75.13,66.02,80.22,69.15,79.43,0.4,96.69,97.42,A,15.3,0,1,Not Reported,0,7,8.2
Female,18,CS,82.81,64.68,68.19,66.92,57.48,1.3,63.49,85.23,F,16.1,0,1,High School,0,2,7.5
Female,21,Engineering,70.77,70.22,66.31,74.81,62.41,5.81,56.51,58.85,A,26.7,0,1,Not Reported,2,1,4.7
Male,20,CS,81.55,88.87,91.6,94.11,96.51,5.36,71.25,90.99,D,16.9,1,1,Bachelor's,2,2,4.2
Male,23,Engineering,69.29,89.16,42.978,80.77,59.24,9.43,51.32,89.36,A,24.8,0,1,Master's,1,7,4.7
Male,24,CS,66.98,87.9,55.08,74.81,84.75,6.95,94.17,91.88,A,14.9,0,1,Bachelor's,0,3,4.2
Female,22,CS,81.72,46.07,47.28,74.81,98.23,2.94,61.99,63.81,A,22.5,1,1,Not Reported,2,5,6.2
Female,23,CS,75.4314094558,87.98,42.978,70.51,55.98,1.61,77.46,72.43,D,10.8,0,1,Master's,0,1,5.4
Male,20,Mathematics,75.4314094558,47.22,56.54,65.88,69.96,8.5,55.75,84.68,A,27.9,0,1,Not Reported,0,10,4.2
Male,20,CS,57.47,47.48,96.79,71.92,61.2,4.6,77.66,69.53,D,28.9,0,1,Master's,1,10,4.4
Female,21,Business,68.43,96.87,56.21,80.52,61.08,6.53,51.95,53.5,F,27.5,1,1,Not Reported,2,10,6.0
Female,20,CS,70.76,89.16,79.82,74.65,55.95,5.65,88.44,56.82,C,13.7,0,1,Not Reported,0,8,8.7
Male,18,CS,81.43,73.14,47.1,91.9,82.48,1.07,97.77,79.86,C,11.9,0,1,Master's,1,4,8.8
Female,20,Engineering,95.73,92.5,76.11,95.01,87.32,0.57,65.35,68.76,B,9.6,1,1,PhD,1,10,4.3
Female,21,Engineering,75.4314094558,97.121,96.79,73.48,83.84,3.77,62.91,52.4495,C,26.8,0,1,PhD,2,2,8.2
Female,23,Mathematics,75.4314094558,76.64,57.51,61.99,96.23,3.62,72.4,88.34,F,8.0,0,1,Bachelor's,1,8,6.4
Female,20,Mathematics,59.69,76.77,90.88,97.26,57.28,6.74,81.0,70.84,C,21.1,0,1,PhD,1,10,7.1
Female,22,Business,75.11,85.27,96.79,86.75,65.99,6.32,59.45,65.69,B,13.3,0,1,Bachelor's,1,5,6.5
Female,24,Engineering,71.49,53.93,75.31,82.01,67.23,9.69,90.17,85.68,D,9.7,0,1,PhD,1,2,8.6
Female,22,Engineering,86.45,50.03,58.56,87.27,61.6,8.58,59.93,72.76,A,9.6,0,1,High School,0,9,6.4
Male,22,CS,75.4314094558,85.57,80.41,74.81,57.11,4.97,50.27,84.74,F,26.8,0,1,High School,2,6,4.8
Male,23,Mathematics,79.72,60.69,90.69,53.38,74.34,5.0,76.21,52.4495,D,26.5,1,1,High School,1,8,7.9
Female,19,Engineering,94.19,48.1,50.28,57.66,91.72,6.74,55.76,52.4495,A,11.8,0,1,High School,1,2,6.6
Female,24,Engineering,95.53,58.89,67.15,57.37,97.73,1.14,84.91,78.0,A,6.3,1,1,Not Reported,1,5,4.6
Female,22,CS,97.5205,61.52,59.15,71.03,56.47,10.0,58.37,97.513,B,26.7,0,1,PhD,0,3,6.3
Male,22,CS,88.66,97.121,57.0,57.87,91.16,5.19,90.87,63.62,B,6.4,0,1,Master's,1,8,7.4
Male,19,Mathematics,95.3,81.88,91.65,92.73,91.23,9.1,73.52,84.14,A,7.1,0,0,Master's,1,1,5.5
Female,23,CS,61.73,71.85,65.3,78.9,69.45,9.67,78.31,58.61,F,25.5,0,1,Master's,0,9,8.6
Male,24,Engineering,59.88,97.121,60.34,68.41,55.5,5.82,59.33,65.58,F,25.4,0,1,High School,0,6,8.2
Female,22,CS,52.899,94.19,76.21,53.48,99.5,1.03,57.33,53.9,D,10.1,0,1,Not Reported,1,1,6.8
Female,21,Business,85.34,70.72,53.16,79.55,82.78,5.73,81.56,94.04,A,6.3,0,1,PhD,1,3,4.3
Female,23,CS,96.87,94.34,53.79,55.83,99.11,5.98,62.77,65.52,A,6.6,0,1,Not Reported,2,8,6.9
Female,24,Business,59.35,64.26,71.22,87.16,74.18,7.89,69.3,61.52,D,16.3,1,1,Bachelor's,1,8,6.1
Female,22,CS,81.85,53.83,64.56,90.14,69.76,0.48,73.97,86.53,F,15.5,0,1,High School,0,3,7.6
Female,22,Business,87.32,53.96,57.7,77.2,62.36,4.66,61.48,59.97,A,9.6,0,1,Not Reported,0,10,5.3
Female,19,Business,96.38,79.74,43.24,57.48,99.18,9.23,89.77,62.01,B,27.7,1,1,Not Reported,1,8,7.0
Male,24,CS,82.34,70.06,71.25,89.34,62.66,9.91,96.97,55.18,F,18.8,1,1,Not Reported,2,6,6.8
Female,21,Engineering,97.5205,79.54,89.0,65.39,51.19,1.91,71.59,97.513,B,25.2,0,1,PhD,0,7,6.6
Male,23,CS,67.23,81.16,91.08,61.13,75.62,8.71,95.88,62.38,B,7.6,0,1,Bachelor's,1,2,4.6
Female,20,CS,67.5,43.29,54.13,73.53,68.85,1.46,94.13,97.513,C,28.9,1,1,High School,0,1,6.4
Female,18,Business,77.15,43.29,75.98,96.13,63.07,8.41,58.3,58.81,C,25.2,0,1,Not Reported,0,1,6.8
Male,21,Engineering,69.18,71.96,91.35,64.87,81.73,2.77,58.67,52.4495,B,12.2,0,1,Not Reported,1,3,8.6
Male,20,CS,52.899,51.46,64.52,95.28,68.21,9.6,73.87,94.78,D,6.3,1,1,Master's,1,7,6.3
Female,21,CS,75.4314094558,77.95,95.93,52.68,70.11,6.95,76.29,79.0,B,9.1,0,1,High School,0,9,7.2
Male,24,CS,87.59,73.13,94.18,54.18,51.15,3.99,67.06,67.57,B,15.5,0,1,High School,2,2,6.8
Female,20,Business,87.35,75.15,52.49,84.93,79.45,2.81,65.65,75.67,A,6.3,0,1,Not Reported,1,6,5.0
